Method,AUROC,AUPR,F1,FPR95,Delay_ms,Lat_ms,FPS,Mem_MB,Energy_J_est_softwareTDP,mIoU,ECE,Params,Notes
Big-AI,0.5,0.7,0.0,0.0,0.0,29.670802651451034,33.70316643426212,194.59194946289062,311.57301749999533,0.0,0.0,11689512,"Intentional trivial lower-bound baseline (always-alarm/no-alarm stub) -- F1=0 by design, not a competing detector; included to anchor the low end of the comparison, not as a fair SOTA baseline. | Energy_J_est_softwareTDP is a software estimate (measured CPU-time utilization x an assumed 15W laptop-CPU TDP constant), not a hardware power-rail measurement. See run_simulation.py's measure_cpu_energy_joules() docstring."
attention,0.6035809523809523,0.7626252149626516,0.15463917525773196,0.9266666666666666,208.60541354919891,29.800773364171274,33.55617613609569,194.59194946289062,311.57301749999533,0.0,0.0,75842,"Energy_J_est_softwareTDP is a software estimate (measured CPU-time utilization x an assumed 15W laptop-CPU TDP constant), not a hardware power-rail measurement. See run_simulation.py's measure_cpu_energy_joules() docstring."
proposed,0.8848571428571429,0.95812978971815,0.8724409448818897,0.7266666666666667,0.0,0.17111511296815346,5844.019167296531,4.789314270019531,1.8724800000200048,0.9996415576934814,0.20951933464695577,75842,"Energy_J_est_softwareTDP is a software estimate (measured CPU-time utilization x an assumed 15W laptop-CPU TDP constant), not a hardware power-rail measurement. See run_simulation.py's measure_cpu_energy_joules() docstring."
proposed (non_fl),0.7643809523809524,0.9080417859035295,0.6981818181818182,0.9866666666666667,0.0,0.1686035932601282,5931.07169701396,4.789314270019531,1.8724800000200048,0.9996415576934814,0.1629296684145496,75842,"Energy_J_est_softwareTDP is a software estimate (measured CPU-time utilization x an assumed 15W laptop-CPU TDP constant), not a hardware power-rail measurement. See run_simulation.py's measure_cpu_energy_joules() docstring."
