Method,AUROC,AUPR,F1,FPR95,Delay_ms,Lat_ms,FPS,Mem_MB,Energy_J,mIoU,ECE,Params
Big-AI,0.5,0.7,0.0,0.0,0.0,6.221437817045904,160.7345487340779,194.59194946289062,0.030018249999557156,0.0,0.0,11689512
attention,0.49874285714285715,0.6931800060979816,0.09333333333333334,0.9433333333333334,99.9,5.872756136860826,170.27780086481366,194.59194946289062,0.030018249999557156,0.0,0.0,75842
proposed,0.65215,0.8511283005439118,0.5511651469098278,0.92,99.9,0.4635965982562435,2157.047751776795,4.789314270019531,0.00024014599999645726,0.0,0.18222234698333212,75842
proposed (non_fl),0.5007714285714285,0.6943994508500764,0.09840425531914894,0.9433333333333334,99.9,0.47117798579058706,2122.340241176814,4.789314270019531,0.00024014599999645726,0.0,0.0852026493099163,75842
